date,country,city,activeUsers,newUsers
2025-04-10,Taiwan,(not set),1,1
2025-04-10,Taiwan,,1,1
2025-04-10,Poland,Lublin,2,0
2025-04-11,United States,Chicago,2,0
2025-04-11,United States,Boydton,2,0
2025-04-12,United States,Stanford,2,0
2025-04-13,Japan,Shinjuku City,1,1
2025-04-13,Japan,Yokohama,2,0
2025-04-13,United States,New York,2,0
2025-04-14,United States,Chapel Hill,2,0
2025-04-14,United States,Houston,2,0
2025-04-14,United States,Wheaton,2,0
2025-04-14,United States,Chicago,3,0
2025-04-15,United States,Sandy Springs,2,0
2025-04-15,United States,(not set),1,0
2025-04-15,Japan,Higashiosaka,2,0
2025-04-15,United States,,0,2
2025-04-16,United States,Magee,1,0
2025-04-16,United States,Warren,2,0
2025-04-16,United States,Honolulu,2,0
2025-04-17,Japan,Nishinomiya,2,0
2025-04-17,United States,New York,2,0
2025-04-18,United States,New York,1,0
2025-04-18,United States,Los Angeles,1,0
2025-04-18,United States,Boston,1,0
2025-04-18,United States,Fort Lee,2,0
2025-04-19,United States,Boston,1,0
2025-04-19,United States,Humboldt,1,0
2025-04-20,United States,New York,3,0
2025-04-20,United States,San Diego,1,1
2025-04-20,Japan,Fukuoka,1,1
2025-04-20,Japan,Kawasaki,1,1
2025-04-20,Japan,Shinagawa City,2,1
2025-04-21,Japan,Kyoto,2,0
2025-04-21,Indonesia,(not set),1,0
2025-04-22,United States,West Lafayette,2,0
2025-04-22,United States,Boston,1,0
2025-04-22,Canada,Toronto,2,0
2025-04-22,United States,New York,1,0
2025-04-23,Japan,Tokushima,2,0
2025-04-23,United States,Ann Arbor,2,0
2025-04-23,Japan,Akashi,2,0
2025-04-25,United States,Manor,2,0
2025-04-26,United States,Manor,1,0
2025-04-26,United States,Marlboro Township,2,0
2025-04-27,Japan,,1,1
2025-04-27,United States,New York,2,0
2025-04-27,Japan,Hiroshima,2,0
2025-04-27,Japan,Tateyama,2,0
2025-04-27,Japan,(not set),2,0
2025-04-28,Canada,Toronto,2,0
2025-04-28,Japan,Kobe,2,0
2025-04-28,United States,Manor,2,0
2025-04-30,Japan,,1,1
2025-04-30,,,1,1
2025-04-30,Japan,(not set),2,0
2025-04-30,(not set),(not set),2,0
2025-05-01,United States,Chapel Hill,2,0
2025-05-02,United States,New York,3,0
2025-05-03,Spain,Seville,2,0
2025-05-03,Japan,Oyama,2,0
2025-05-03,(not set),(not set),2,0
2025-05-04,Taiwan,(not set),1,1
2025-05-04,Taiwan,,1,1
2025-05-04,United States,New York,1,0
2025-05-05,Canada,Toronto,1,1
2025-05-05,Japan,Shibuya,1,1
2025-05-07,United States,West Lafayette,2,0
2025-05-07,Czechia,Prague,1,1
2025-05-07,United States,Austin,2,0
2025-05-08,Indonesia,Kuta Selatan,1,1
2025-05-08,Indonesia,Jakarta,2,0
2025-05-08,United States,Lafayette,2,0
2025-05-08,United States,Marlboro Township,2,0
2025-05-09,Japan,Chiyoda City,2,0
2025-05-11,South Korea,Daejeon,2,0
2025-05-11,United States,New York,2,0
2025-05-12,Singapore,Singapore,1,1
2025-05-12,Japan,Utsunomiya,1,0
2025-05-12,Japan,Murakami,2,0
2025-05-12,United States,New York,2,0
2025-05-13,United States,Wellington,2,0
2025-05-13,United States,New York,2,0
2025-05-13,Taiwan,(not set),2,0
2025-05-13,Germany,(not set),4,2
2025-05-13,Taiwan,,1,1
2025-05-13,Japan,Minato City,2,0
2025-05-13,Germany,,3,3
2025-05-13,Spain,Madrid,2,0
2025-05-14,Spain,Madrid,2,0
2025-05-15,United States,Los Angeles,1,1
2025-05-15,United States,New York,2,0
2025-05-16,United States,Chesterfield,2,0
2025-05-17,United States,(not set),2,0
2025-05-17,Iran,Qazvin,2,0
2025-05-18,Japan,Shihoro,2,0
2025-05-18,Singapore,Singapore,2,0
2025-05-19,Angola,Luanda,2,0
2025-05-21,Japan,Shinjuku City,2,0
2025-05-21,United States,New York,3,0
2025-05-21,Japan,Takamatsu,2,0
2025-05-23,United States,Austin,1,0
2025-05-23,Germany,Frankfurt,1,1
2025-05-23,Hong Kong,Hong Kong,1,1
2025-05-23,Japan,Toyonaka,1,0
2025-05-23,United States,College Station,1,1
